STATEFIPS,STATE,zipcode,Size of adjusted gross income,No of returns,No of single returns,No of joint returns,No of head of household returns,Number of electronically filed returns,Number of computer prepared paper returns,Number of returns with paid preparer's signature,Number of returns with direct deposit,Number of individuals,Total number of volunteer prepared returns,Number of volunteer income tax assistance VITA prepared returns,Number of tax counseling for the elderly  TCE prepared returns,Number of volunteer prepared returns with Earned Income Credit,Number of refund anticipation check returns,Number of elderly returns,Adjust gross income AGI,Number of returns with total income,Total income amount,Number of returns with salaries and wages,Salaries and wages amount,Number of returns with taxable interest,Taxable interest amount,Number of returns with ordinary dividends,Ordinary dividends amount,Number of returns with qualified dividends,Qualified dividends amount,Number of returns with state and local income tax refunds,State and local income tax refunds amount,Number of returns with business or professional net income less loss,Business or professional net income less loss amount,Number of returns with net capital gain less loss,Net capital gain less loss amount,Number of returns with taxable individual retirement arrangements distributions,Taxable individual retirement arrangements distributions amount,Number of returns with taxable pensions and annuities,Taxable pensions and annuities amount,Number of farm returns,Number of returns with unemployment compensation,Unemployment compensation amount,Number of returns with taxable Social Security benefits,Taxable Social Security benefits amount,Number of returns with partnership/S-corp net income less loss,Partnership/S-corp net income less loss amount,Number of returns with total statutory adjustments,Total statutory adjustments amount,Number of returns with educator expenses,Educator expenses amount,Number of returns with Self-employed Keogh retirement plans,Self-employed Keogh retirement plans amount,Number of returns with Self employed health insurance deduction,Self employed health insurance deduction amount,Number of returns with Individual retirement arrangement payments,Individual retirement arrangement payments amount,Number of returns with student loan interest deduction,Student loan interest deduction amount,Number of returns with total standard deduction,Total standard deduction amount,Number of returns with basic standard deduction,Basic standard deduction amount,Number of returns with additional standard deduction,Additional standard deduction amount,Number of returns with itemized deductions,Total itemized deductions amount,Amount of AGI for itemized returns,Number of returns with Total medical and dental expense deduction,Total medical and dental expense deduction amount,Number of returns with State and local income taxes,State and local income taxes amount,Number of returns with State and local general sales tax,State and local general sales tax amount,Number of returns with real estate taxes,Real estate taxes amount,Number of returns with Personal property taxes,Personal property taxes amount,Number of returns with Limited state and local taxes,Limited state and local taxes,Number of returns with Total taxes paid,Total taxes paid amount,Number of returns with Home mortgage interest paid,Home mortgage interest paid amount,Number of returns with Home mortgage from personal seller,Home mortgage from personal seller amount,Number of returns with Deductible points,Deductible points amount,Number of returns with Investment interest paid,Investment interest paid amount,Number of returns with Total charitable contributions,Total charitable contributions amount,Number of returns with Other non-limited miscellaneous deductions,Other non limited miscellaneous deductions amount,Number of returns with Qualified business income deduction,Qualified business income deduction,Number of returns with taxable income,Taxable income amount,Number of returns with income tax before credits,Income tax before credits amount,Number of returns with alternative minimum tax,Alternative minimum tax amount,Number of returns with excess advance premium tax credit repayment,Excess advance premium tax credit repayment amount,Number of returns with total tax credits,Total tax credits amount,Number of returns with foreign tax credit,Foreign tax credit amount,Number of returns with child and dependent care credit,Child and dependent care credit amount,Number of returns with nonrefundable education credit,Nonrefundable education credit amount,Number of returns with retirement savings contribution credit,Retirement savings contribution credit amount,Number of returns with child and other dependent credit,Child and other dependent credit amount,Number of returns with residential energy tax credit,Residential energy tax credit amount,Number of returns with self employment tax,Self employment tax amount,Number of returns with total premium tax credit,Total premium tax credit amount,Number of returns with advance premium tax credit,Advance premium tax credit amount,Number of returns with total tax payments,Total tax payments amount,Number of returns with earned income credit,Earned income credit amount,Number of returns with excess earned income credit,Excess earned income credit refundable amount,Number of returns with additional child tax credit,Additional child tax credit amount,Number of returns with refundable education credit,Refundable education credit amount,Number of returns with net premium tax credit,Net premium tax credit amount,Number of returns with income tax after credits,Income tax after credits amount,Number of returns with tax liability,Total tax liability amount,Number of returns with additional Medicare tax,Additional Medicare tax amount,Number of returns with net investment income tax,Net investment income tax amount,Number of returns with tax due at time of filing,Tax due at time of filing amount,Number of returns with total overpayments,Total overpayments amount,Number of returns with overpayments refunded,Overpayments refunded amount,Number of returns with credit to next years estimated tax,Credited to next years estimated tax amount
42,PA,0,"$75,000 under $100,000",603580,178850,368040,44420,545900,19480,333810,391070,1336090,1110,340,770,0,53320,208220,52378996,603600,52857468,512530,38515712,266010,336516,167440,674333,154590,465133,13630,4261,84510,1198948,130310,645030,108560,1948149,176200,4977363,3900,36330,187590,160830,3508632,26530,399105,173280,478472,19580,4974,1080,14998,10960,82396,12120,64427,85260,98025,527970,11220638,527940,10955868,129540,263447,73260,1798396,6486323,18730,373560,62570,274835,7320,8230,64770,329588,8150,6826,71420,553071,73160,565935,57220,465351,520,3530,910,456,640,2066,55340,272261,2100,29331,111490,295844,602540,39010512,601550,5074237,0,0,4630,18958,258690,653628,47560,5291,27240,15885,42500,60016,0,0,200970,549011,10360,8137,63310,209775,1520,14110,6360,50179,597840,5794496,0,0,0,0,6530,11053,29840,29454,0,0,588420,4416292,592720,4669470,0,0,0,0,134860,333038,464390,1458471,449840,1404584,16000,44944
42,PA,0,"$100,000 under $200,000",916740,136240,738240,30680,832890,27950,527980,496920,2385310,210,100,110,0,45090,308180,125097376,916720,126345266,796470,91899788,525280,888815,362690,2210687,338560,1605186,25180,12412,157680,3358077,296490,2642351,187480,5203412,274090,10551785,4920,42000,230734,221530,5925799,80690,2249623,325510,1247890,58330,15934,9160,144700,31160,297840,24280,147289,135070,164173,756340,17688599,756230,17303893,179120,381055,161310,4780655,23550288,28020,669034,145550,998648,12600,17775,149130,948643,18720,10337,158360,1434335,161110,1462921,132480,1420336,1400,11382,5920,3028,2970,11450,137590,979343,6840,139881,241550,1027160,915990,101601292,915210,15326477,40,359,1780,11583,504280,1380630,124360,25027,77570,46963,72790,109406,0,0,391960,1134912,22230,19584,122760,545985,0,0,1910,14675,910790,15844827,0,0,0,0,40,96,62040,63027,0,0,911680,13942361,912970,14595072,4200,1123,460,156,309200,1190057,606440,2434085,569730,2197203,48540,255648
42,PA,0,"$200,000 or more",328910,29090,285690,4180,302660,5870,230440,90330,944300,0,0,0,0,1930,108600,152447448,328910,154242634,289290,85364030,264580,2173812,222880,6506985,213050,4955038,8270,14560,75530,5026244,206690,16995949,68480,3578126,75340,4085421,460,3260,21132,60170,1891081,92990,19619314,108920,1795186,9090,2320,17940,588755,32810,477055,2200,22004,0,0,184950,4437019,184910,4339349,41540,89268,138840,7430572,83714930,4930,190346,130600,3562725,5380,10837,129650,1499575,8480,4303,137800,1358300,138880,1394081,113860,1861642,590,8839,5750,2262,12720,239361,128100,2868029,5860,204555,163920,3382501,328820,136592760,328690,32475119,1640,21741,0,0,220210,861779,113030,249151,30140,17263,0,0,0,0,122750,366373,5240,7625,72250,679487,0,0,0,0,326850,33040437,0,0,0,0,0,0,0,0,0,0,328490,31502707,328730,33369518,163280,322271,190880,677524,167050,3742242,155450,3410355,111140,1187689,48720,2069866
44,RI,0,"$1 under $25,000",172890,133540,13430,23250,156490,7300,85330,114970,198880,7800,4890,2910,2040,25030,33990,2099114,172880,2134277,135690,1636950,25390,19988,13330,23559,12010,15202,560,261,25120,182150,10420,11463,11100,67490,19300,158494,110,7750,27764,8680,17960,1960,3643,29000,35163,230,50,40,627,1540,5177,350,1165,6100,5799,170350,2204950,170350,2157219,25950,47802,2360,53786,34618,1500,24592,750,964,860,540,1700,8933,560,224,2150,10269,2270,10950,1260,10526,0,0,0,0,0,0,1200,2161,20,196,6860,4629,68850,377278,68140,38455,0,0,2780,962,23640,8310,690,32,660,211,4640,2456,7420,1274,10820,4015,40,28,21560,28982,7800,31641,7900,30928,155370,314499,53860,124981,46730,110577,26250,40116,6090,5185,3850,2688,51420,30165,69890,59986,0,0,0,0,14240,13074,146730,267548,146000,265636,1000,1427
44,RI,0,"$25,000 under $50,000",132250,82630,19850,26260,122910,3920,69270,99590,210660,3830,2690,1140,360,25450,26050,4831811,132250,4887125,116720,4062211,24830,24931,13070,33619,11970,22388,2820,1512,14320,165311,10360,25519,9850,100345,18450,286625,110,9190,43968,18730,139208,2580,15524,29420,55314,2010,468,140,1225,2050,9387,2070,7934,15910,17452,126540,1963510,126540,1931872,16500,31549,5810,125148,227211,2270,36780,4940,9374,1090,1096,4850,23346,3120,1736,5570,32405,5770,34538,4320,35353,60,367,110,61,40,68,3800,10114,140,1178,13180,20829,131170,2731551,130450,302193,0,0,7110,5487,53890,61967,3560,204,4390,2434,9020,9626,20010,3837,34580,44427,840,608,10950,27580,9680,32877,10520,38358,129200,530895,26530,57399,23370,50710,23370,42941,5350,4581,2400,2320,104130,240223,108690,270557,0,0,0,0,17290,26556,114400,286417,113450,283188,1370,2667
44,RI,0,"$50,000 under $75,000",81520,44190,23600,10610,75180,2490,47280,55750,140200,970,360,610,0,10330,23100,5018625,81520,5072595,70200,3945810,26270,29428,14650,48968,13550,32979,5620,3310,10270,128271,11720,41532,9880,130294,17290,421440,100,5210,27651,16960,269971,2750,27988,23440,53970,2690,658,170,1829,1950,11433,2000,9168,12690,15833,71100,1227684,71100,1200724,14140,26992,10420,219790,657361,2550,43925,9840,28377,710,855,9580,44957,6130,3343,10160,71107,10390,73367,8940,73733,90,549,450,241,0,0,7430,19463,540,5712,11500,25232,81300,3548820,81140,442485,0,0,2430,4353,29860,58603,4370,351,2510,1400,4460,5737,4150,716,21200,46821,1660,1746,7760,22168,1940,7993,3070,12957,80390,541805,270,133,180,90,4510,7342,3150,2911,30,37,76440,384043,77690,409038,0,0,0,0,16560,33697,64760,166016,63590,162210,1780,3997
44,RI,0,"$75,000 under $100,000",51820,18700,26720,4650,47750,1340,32440,32650,105660,130,0,130,0,4550,17670,4490126,51820,4532563,44420,3356393,22140,32914,13690,55784,12660,39088,4990,3305,7990,115780,10990,57834,8380,141685,13720,421271,0,3670,19370,13290,276537,2740,38931,14970,42437,2480,626,110,1413,1140,8116,1120,6403,6040,6149,42070,862538,42070,840905,10780,21653,9690,218617,839281,1420,26168,9320,37578,100,143,9180,46508,5850,3135,9480,78118,9670,79859,8470,75104,140,883,120,29,80,189,7360,22499,310,3751,9990,26907,51720,3380626,51640,453499,0,0,1110,3304,21400,50109,4300,477,2160,1253,3140,4150,0,0,15910,40399,1030,1558,6150,19245,0,0,1220,4713,51300,509466,0,0,0,0,540,887,2180,1996,0,0,50720,403109,51070,425850,0,0,0,0,13230,33735,38470,117106,37260,112468,1310,3709
44,RI,0,"$100,000 under $200,000",80140,14020,60970,3400,73960,2020,51830,41310,198840,0,0,0,0,4130,27710,10941214,80140,11058889,70690,8169569,44180,81656,30210,174422,28300,128365,6410,5154,15320,307669,25210,241300,15020,386836,22690,933775,40,5200,29462,18900,480684,7650,200605,28840,117675,6150,1714,1470,23384,3270,31355,2600,16348,10660,12257,62830,1456298,62830,1423481,15590,32803,17400,478519,2453695,2400,55129,16670,111940,590,974,16560,103693,10540,6666,17130,162577,17390,165100,15210,171069,60,569,900,484,400,1629,14840,69315,880,16908,21960,92292,80070,8915247,80010,1363188,0,0,150,589,42790,112974,10750,2194,7080,4227,5730,8226,0,0,32680,88525,2850,5005,12170,50266,0,0,200,824,79630,1390301,0,0,0,0,0,0,4920,4790,0,0,79670,1250251,79790,1308837,960,259,330,124,29800,115229,50240,195476,47190,175928,4110,22007
44,RI,0,"$200,000 or more",26630,2980,22450,310,24950,170,20240,7280,71640,0,0,0,0,40,9920,12045462,26630,12211103,23580,6400277,21070,222377,17350,541033,16550,423263,1070,2305,7050,409521,16510,1571638,5930,280007,6660,373013,0,520,3159,5520,168259,8270,1604941,10080,165641,1010,260,1580,51094,3240,48591,160,1573,0,0,15030,359600,15020,350790,4010,8530,11450,595102,6582487,190,8949,10740,367082,430,872,10640,124697,5840,5126,11340,112865,11450,115862,9690,161253,80,909,380,117,1170,21233,10520,190979,530,13483,13660,282987,26630,10980504,26620,2556590,130,1717,0,0,17240,72541,8990,20400,2050,1198,0,0,0,0,9140,25433,580,1548,6720,56054,0,0,0,0,26480,2576637,0,0,0,0,0,0,0,0,0,0,26600,2476264,26630,2584670,12600,22480,15220,56372,13680,307207,12730,307883,8920,98568,4350,189752
45,SC,0,"$1 under $25,000",826950,553440,87310,167850,751940,36210,358960,586240,1144260,21310,16280,5030,5230,171750,160510,10496764,826870,10666855,659460,8401671,91120,63032,50000,95444,44910,60720,2600,1905,142600,783198,42440,43530,42850,289768,100780,899299,2740,10400,33531,44740,95905,8870,13926,142580,170091,1790,417,20,162,6710,19994,1490,4553,21460,19788,817560,11420887,817560,11198204,118830,222896,8170,181262,137649,5820,86545,2630,4218,3280,2385,4860,11662,3790,1782,7130,20333,7740,22410,3780,32509,0,0,150,40,120,233,4970,17289,100,969,26200,16767,317480,1695287,319370,175345,0,0,15480,6155,128880,43049,2680,104,6570,2270,17950,8889,43560,7803,62970,22368,370,221,110890,156542,49960,445360,52150,460206,749270,1731493,321980,863613,290810,767970,177630,278125,34280,30264,21610,12187,225180,132072,330290,294500,0,0,0,0,77820,65154,700350,1501946,698250,1495874,2340,3468
